fileName,Error
DJ02-EM01-A.csv,'Signal can't be analyzed for file DJ02-EM01-A.csv because it is too short (less than 13 minutes of information)'
DJ02-EM01-B.csv,'Signal can't be analyzed for file DJ02-EM01-B.csv because it has not a good quality.'
DJ02-EM01-C.csv,'Signal can't be analyzed for file DJ02-EM01-C.csv because it is too short (less than 13 minutes of information)'
MJ01-EM01-B.csv,'Signal can't be analyzed for file MJ01-EM01-B.csv because it is too short (less than 13 minutes of information)'
