,LR_Train,LR_Test,SVM_Train,SVM_Test,DT_Train,DT_Test,RF_Train,RF_Test,GBM_Train,GBM_Test
27,0.6452702702702703,0.4881889763779528,0.777027027027027,0.6299212598425197,1.0,0.7244094488188977,1.0,0.7716535433070866,1.0,0.8267716535433071
28,0.6486486486486487,0.4881889763779528,0.7804054054054054,0.6299212598425197,1.0,0.7244094488188977,1.0,0.7480314960629921,1.0,0.8267716535433071
29,0.652027027027027,0.4881889763779528,0.8006756756756757,0.6692913385826772,1.0,0.7086614173228346,1.0,0.7637795275590551,1.0,0.7874015748031497
30,0.6587837837837838,0.48031496062992124,0.793918918918919,0.6535433070866141,1.0,0.7007874015748031,1.0,0.7637795275590551,1.0,0.8110236220472441
31,0.668918918918919,0.49606299212598426,0.7905405405405406,0.6614173228346457,1.0,0.7244094488188977,1.0,0.7795275590551181,1.0,0.8267716535433071
32,0.668918918918919,0.49606299212598426,0.8040540540540541,0.6771653543307087,1.0,0.7086614173228346,1.0,0.7559055118110236,1.0,0.8188976377952756
33,0.6790540540540541,0.49606299212598426,0.8040540540540541,0.6614173228346457,1.0,0.7401574803149606,1.0,0.7874015748031497,1.0,0.8188976377952756
34,0.6756756756756757,0.49606299212598426,0.793918918918919,0.6456692913385826,1.0,0.7086614173228346,1.0,0.7795275590551181,1.0,0.7874015748031497
35,0.6756756756756757,0.5039370078740157,0.793918918918919,0.6377952755905512,1.0,0.7322834645669292,1.0,0.8031496062992126,1.0,0.8110236220472441
36,0.6790540540540541,0.5039370078740157,0.8074324324324325,0.6692913385826772,1.0,0.7322834645669292,1.0,0.8031496062992126,1.0,0.8031496062992126
37,0.668918918918919,0.5039370078740157,0.8074324324324325,0.6614173228346457,1.0,0.7480314960629921,1.0,0.7716535433070866,1.0,0.7874015748031497
38,0.6722972972972973,0.49606299212598426,0.8175675675675675,0.6771653543307087,1.0,0.7322834645669292,1.0,0.7716535433070866,1.0,0.7716535433070866
39,0.6824324324324325,0.5039370078740157,0.8175675675675675,0.6850393700787402,1.0,0.6929133858267716,1.0,0.7795275590551181,1.0,0.7952755905511811
40,0.6790540540540541,0.5039370078740157,0.8209459459459459,0.6850393700787402,1.0,0.7401574803149606,1.0,0.8031496062992126,1.0,0.7795275590551181
41,0.6925675675675675,0.49606299212598426,0.8108108108108109,0.6771653543307087,1.0,0.7244094488188977,1.0,0.7637795275590551,1.0,0.8110236220472441
42,0.6959459459459459,0.5039370078740157,0.8108108108108109,0.6850393700787402,1.0,0.6929133858267716,1.0,0.7795275590551181,1.0,0.8110236220472441
43,0.6925675675675675,0.5039370078740157,0.8074324324324325,0.6692913385826772,1.0,0.7322834645669292,1.0,0.7716535433070866,1.0,0.8031496062992126
44,0.6891891891891891,0.49606299212598426,0.8108108108108109,0.6692913385826772,1.0,0.7007874015748031,1.0,0.8031496062992126,1.0,0.7952755905511811
45,0.6858108108108109,0.5039370078740157,0.8209459459459459,0.6614173228346457,1.0,0.7401574803149606,1.0,0.8031496062992126,1.0,0.7952755905511811
46,0.6824324324324325,0.49606299212598426,0.8243243243243243,0.6771653543307087,1.0,0.7322834645669292,1.0,0.7952755905511811,1.0,0.8031496062992126
47,0.6655405405405406,0.4881889763779528,0.8175675675675675,0.7007874015748031,1.0,0.7165354330708661,1.0,0.7637795275590551,1.0,0.7795275590551181
48,0.668918918918919,0.4881889763779528,0.8175675675675675,0.7007874015748031,1.0,0.7086614173228346,1.0,0.7795275590551181,1.0,0.7716535433070866
49,0.6722972972972973,0.48031496062992124,0.8175675675675675,0.6850393700787402,1.0,0.7244094488188977,1.0,0.7795275590551181,1.0,0.7874015748031497
50,0.6722972972972973,0.4881889763779528,0.8209459459459459,0.6929133858267716,1.0,0.7322834645669292,1.0,0.7480314960629921,1.0,0.7795275590551181
51,0.6756756756756757,0.4645669291338583,0.8209459459459459,0.6850393700787402,1.0,0.6850393700787402,1.0,0.7559055118110236,1.0,0.7795275590551181
52,0.6790540540540541,0.4881889763779528,0.8243243243243243,0.6850393700787402,1.0,0.7086614173228346,1.0,0.7637795275590551,1.0,0.7874015748031497
53,0.6756756756756757,0.4881889763779528,0.8277027027027027,0.6850393700787402,1.0,0.7086614173228346,1.0,0.8188976377952756,1.0,0.7952755905511811
54,0.668918918918919,0.4881889763779528,0.8277027027027027,0.7007874015748031,1.0,0.6929133858267716,1.0,0.7795275590551181,1.0,0.7952755905511811
55,0.668918918918919,0.4881889763779528,0.831081081081081,0.7007874015748031,1.0,0.7244094488188977,1.0,0.7795275590551181,1.0,0.7952755905511811
56,0.6824324324324325,0.4881889763779528,0.8243243243243243,0.6929133858267716,1.0,0.6614173228346457,1.0,0.7795275590551181,1.0,0.7637795275590551
57,0.6756756756756757,0.4881889763779528,0.8209459459459459,0.6929133858267716,1.0,0.7007874015748031,1.0,0.7716535433070866,1.0,0.8031496062992126
58,0.6790540540540541,0.5039370078740157,0.8344594594594594,0.6850393700787402,1.0,0.6929133858267716,1.0,0.8188976377952756,1.0,0.7952755905511811
59,0.6790540540540541,0.5039370078740157,0.8581081081081081,0.6929133858267716,1.0,0.7086614173228346,1.0,0.7559055118110236,1.0,0.7637795275590551
60,0.6858108108108109,0.5039370078740157,0.8547297297297297,0.7007874015748031,1.0,0.7165354330708661,1.0,0.7952755905511811,1.0,0.7795275590551181
61,0.6925675675675675,0.4881889763779528,0.8581081081081081,0.7007874015748031,1.0,0.7086614173228346,1.0,0.7559055118110236,1.0,0.7637795275590551
62,0.6756756756756757,0.49606299212598426,0.8581081081081081,0.7007874015748031,1.0,0.7244094488188977,1.0,0.7874015748031497,1.0,0.7716535433070866
63,0.6756756756756757,0.49606299212598426,0.8547297297297297,0.7007874015748031,1.0,0.7165354330708661,1.0,0.8031496062992126,1.0,0.7716535433070866
64,0.6925675675675675,0.5118110236220472,0.8716216216216216,0.6929133858267716,1.0,0.7165354330708661,1.0,0.7874015748031497,1.0,0.7716535433070866
65,0.6925675675675675,0.4881889763779528,0.8716216216216216,0.6850393700787402,1.0,0.6850393700787402,1.0,0.7952755905511811,1.0,0.7795275590551181
66,0.6959459459459459,0.4881889763779528,0.8716216216216216,0.6771653543307087,1.0,0.6929133858267716,1.0,0.7716535433070866,1.0,0.7637795275590551
