EmotionDetected,EmotionNumber,Percentage,Second
neutral,0,99.9659776687622,3000.0
sad,2,56.0274600982666,3004.1666666666665
neutral,0,65.93652367591858,3008.333333333333
sad,2,67.61499643325806,3012.5
sad,2,70.6025225283219,3016.6666666666665
fear,4,70.98478078842163,3020.833333333333
sad,2,97.6002392292308,3025.0
fear,4,79.40582036972046,3029.1666666666665
neutral,0,79.16788334655067,3033.333333333333
Pass,7,Pass,3037.5
neutral,0,60.96850502866447,3041.6666666666665
neutral,0,99.3164598941803,3045.833333333333
Pass,7,Pass,3050.0
happy,3,69.88659917632336,3054.1666666666665
neutral,0,66.95971488952637,3058.333333333333
sad,2,64.59036469459534,3062.5
sad,2,86.81812882423401,3066.6666666666665
Pass,7,Pass,3070.833333333333
neutral,0,69.6730059190396,3075.0
neutral,0,65.42941927909851,3079.1666666666665
surprise,1,46.89968526363373,3083.333333333333
neutral,0,70.252925157547,3087.5
neutral,0,66.41709804534912,3091.6666666666665
neutral,0,92.28923916816711,3095.833333333333
neutral,0,84.6982937691562,3100.0
neutral,0,99.54134821891785,3104.1666666666665
neutral,0,71.54808640480042,3108.333333333333
sad,2,47.21074435582824,3112.5
sad,2,37.12088763713837,3116.6666666666665
neutral,0,91.99966788291931,3120.833333333333
neutral,0,74.82157945632935,3125.0
neutral,0,69.14258599281311,3129.1666666666665
Pass,7,Pass,3133.333333333333
Pass,7,Pass,3137.5
Pass,7,Pass,3141.6666666666665
neutral,0,90.74053764343262,3145.833333333333
fear,4,50.735121965408325,3150.0
neutral,0,96.20265364646912,3154.1666666666665
Pass,7,Pass,3158.333333333333
happy,3,65.6408429145813,3162.5
angry,6,42.24900099647033,3166.6666666666665
happy,3,71.64492607116699,3170.833333333333
happy,3,76.56438071303138,3175.0
happy,3,50.371187925338745,3179.1666666666665
fear,4,62.21302006089448,3183.333333333333
Pass,7,Pass,3187.5
neutral,0,93.91884803771973,3191.6666666666665
Pass,7,Pass,3195.833333333333
Pass,7,Pass,3200.0
surprise,1,41.72232747077942,3204.1666666666665
happy,3,85.49150824546814,3208.333333333333
angry,6,78.4657405892456,3212.5
Pass,7,Pass,3216.6666666666665
Pass,7,Pass,3220.833333333333
Pass,7,Pass,3225.0
happy,3,70.59809565544128,3229.1666666666665
neutral,0,93.27705502510071,3233.333333333333
sad,2,90.60942530632019,3237.5
neutral,0,98.94890201700902,3241.6666666666665
neutral,0,98.53251576423645,3245.833333333333
neutral,0,76.85991525650024,3250.0
fear,4,55.694031715393066,3254.1666666666665
Pass,7,Pass,3258.333333333333
Pass,7,Pass,3262.5
Pass,7,Pass,3266.6666666666665
Pass,7,Pass,3270.833333333333
Pass,7,Pass,3275.0
Pass,7,Pass,3279.1666666666665
neutral,0,95.01910865079061,3283.333333333333
Pass,7,Pass,3287.5
neutral,0,77.02184915542603,3291.6666666666665
Pass,7,Pass,3295.833333333333
neutral,0,99.19061660766602,3300.0
fear,4,37.93419897556305,3304.1666666666665
fear,4,86.49752575129577,3308.333333333333
fear,4,60.723745822906494,3312.5
neutral,0,65.49242734909058,3316.6666666666665
Pass,7,Pass,3320.833333333333
fear,4,49.39796328544617,3325.0
fear,4,76.02687931221004,3329.1666666666665
fear,4,90.35791697251302,3333.333333333333
fear,4,68.29183101654053,3337.5
neutral,0,99.03331410487722,3341.6666666666665
neutral,0,70.78956961631775,3345.833333333333
neutral,0,94.36630673810163,3350.0
Pass,7,Pass,3354.1666666666665
Pass,7,Pass,3358.333333333333
Pass,7,Pass,3362.5
Pass,7,Pass,3366.6666666666665
neutral,0,86.97029948234558,3370.833333333333
Pass,7,Pass,3375.0
neutral,0,96.09389901161194,3379.1666666666665
Pass,7,Pass,3383.333333333333
neutral,0,52.40640640258789,3387.5
sad,2,72.58501648902893,3391.6666666666665
Pass,7,Pass,3395.833333333333
Pass,7,Pass,3400.0
neutral,0,74.33029413223267,3404.1666666666665
neutral,0,91.00305438041687,3408.333333333333
neutral,0,87.79481053352356,3412.5
neutral,0,84.96179580688477,3416.6666666666665
neutral,0,97.91268110275269,3420.833333333333
happy,3,57.70384073257446,3425.0
neutral,0,99.85817670822144,3429.1666666666665
neutral,0,53.52419337774476,3433.333333333333
surprise,1,88.40417196775508,3437.5
neutral,0,88.17678619484819,3441.6666666666665
fear,4,64.13646171850422,3445.833333333333
neutral,0,95.47498822212219,3450.0
neutral,0,99.99961256978587,3454.1666666666665
Pass,7,Pass,3458.333333333333
fear,4,44.828611612319946,3462.5
Pass,7,Pass,3466.6666666666665
Pass,7,Pass,3470.833333333333
Pass,7,Pass,3475.0
sad,2,58.2506154924998,3479.1666666666665
neutral,0,93.98574829101562,3483.333333333333
sad,2,78.70421067426078,3487.5
sad,2,72.10310697555542,3491.6666666666665
sad,2,69.78127360343933,3495.833333333333
sad,2,53.05126905441284,3500.0
neutral,0,93.30251216888428,3504.1666666666665
neutral,0,89.78545191461421,3508.333333333333
happy,3,88.31164240837097,3512.5
neutral,0,80.35681130628653,3516.6666666666665
neutral,0,66.48457646369934,3520.833333333333
fear,4,46.69215381145477,3525.0
Pass,7,Pass,3529.1666666666665
Pass,7,Pass,3533.333333333333
neutral,0,62.07197904586792,3537.5
fear,4,90.053790807724,3541.6666666666665
neutral,0,55.57197332382202,3545.833333333333
neutral,0,83.09371370635711,3550.0
neutral,0,87.6776397228241,3554.1666666666665
sad,2,55.366850539070434,3558.333333333333
neutral,0,82.73165020127895,3562.5
fear,4,68.82777624295808,3566.6666666666665
surprise,1,41.93912542591984,3570.833333333333
neutral,0,93.37191064692608,3575.0
neutral,0,93.27123125024028,3579.1666666666665
neutral,0,97.58392572402954,3583.333333333333
neutral,0,85.08776426315308,3587.5
Pass,7,Pass,3591.6666666666665
Pass,7,Pass,3595.833333333333
Pass,7,Pass,3600.0
Pass,7,Pass,3604.1666666666665
Pass,7,Pass,3608.333333333333
Pass,7,Pass,3612.5
neutral,0,79.62725758552551,3616.6666666666665
neutral,0,99.99122619628906,3620.833333333333
neutral,0,90.53894281387329,3625.0
fear,4,84.14036631584167,3629.1666666666665
sad,2,77.48280167579651,3633.333333333333
neutral,0,81.47783279418945,3637.5
Pass,7,Pass,3641.6666666666665
Pass,7,Pass,3645.833333333333
Pass,7,Pass,3650.0
Pass,7,Pass,3654.1666666666665
neutral,0,92.88357496261597,3658.333333333333
