promedios_1,promedios_2,promedios_3,promedios_4,promedios_5,promedios_6,promedios_7,promedios_8,promedios_9,promedios_10,promedios_11,promedios_12,promedios_13,promedios_14,promedios_15,promedios_16,promedios_17,promedios_18,promedios_19,promedios_20,promedios_21,promedios_22,promedios_23,promedios_24,promedios_25,promedios_26,promedios_27,promedios_28,promedios_29,promedios_30,promedios_31,promedios_32,promedios_33,promedios_34,promedios_35,promedios_36,promedios_37
2.63338101627201,1.0022704901603,2.38206515864294,4.33442804753078,2.21043391724434,4.0778653352936,8.20774328737553,-1.07585746489928,-1.02139417632862,-1.02782147843956,-1.03821985342532,-1.10326798930168,-1.18892385278399,-1.1711444241752,-1.10616623498646,-1.01854854534315,-1.02109673200796,-1.05818161510048,-1.21185100913291,-1.38701750492343,-1.27636325266944,-1.38454556235711,-1.06050480099269,-1.07729479528521,-1.24975163129161,-1.71491668421551,-2.1595665839048,-2.14533735258156,4.3855630996461,1.26229344313286,1.98572483646352,1.20185988246188,1.45903319007427,5.08956656885407,12.9470755815829,0.0225503266296225,0.0665380132544934
2.69631682220948,1.13510776733621,2.68394078760319,4.30960963893375,2.08184051117794,3.95100654884055,8.57470492986726,-1.06284772786725,-1.01883909934736,-1.02752166276382,-1.0326103935716,-1.08646571793815,-1.1720812714495,-1.16038586183969,-1.08725407119399,-1.01522978804604,-1.0195666627809,-1.04690885378826,-1.17911301124841,-1.3316980571074,-1.23635159337515,-1.27113409921701,-1.03806191294474,-1.05851853971729,-1.18188795077689,-1.56930877642529,-1.95537280053245,-1.87030042939131,4.79261409198295,1.3405750644252,2.08186827843449,1.16675908809579,1.35579437079516,4.60774189206907,13.9007943359964,0.022106644179099,0.0665964303986033
2.56099780485146,1.02781294275928,2.5946074340685,4.86945680804283,2.28404427774179,4.03263412654011,8.54465793923193,-1.05393016607962,-1.01692828784737,-1.02617284116982,-1.03056598713295,-1.08289575445273,-1.1691469833355,-1.1468735885767,-1.07796824720601,-1.01419189716927,-1.01926851540672,-1.04450490621391,-1.18697478521707,-1.37076566454018,-1.23115741419603,-1.23954456375536,-1.03382335378461,-1.06003553342321,-1.17066683079355,-1.5233934702167,-1.96399588634401,-1.81095882550328,4.38106616952712,1.37806096622658,2.09274218740808,1.21186178733704,1.24390506367514,4.58873693303142,13.0280019762422,0.0221710365724082,0.066214948193961
2.56126823667603,0.975795184828213,2.43676035719884,4.57177793695923,2.07408720484326,3.72205370494218,8.26633768747419,-1.053935446758,-1.01820135312876,-1.02775625532583,-1.03456787127487,-1.07480059455946,-1.15790750644414,-1.15073131913057,-1.07834137912837,-1.01452704341606,-1.02002103314057,-1.04930062380646,-1.18189622272661,-1.35002476243233,-1.23411830609979,-1.33157522458404,-1.04607288641712,-1.0770883618471,-1.23739071692747,-1.57098927933087,-2.06614123906082,-2.18185661400166,4.08109903662112,1.29794941269427,2.10261577176951,1.23529958556076,1.29798770880455,4.58838316315541,11.8858946794015,0.0221970697816068,0.0661288082835361
2.61734559274293,1.17158364112435,2.5258992450385,4.65849348524389,2.16964953222989,4.09171815472266,8.48420768170015,-1.06111861578453,-1.02368348094062,-1.03436111468292,-1.05853177688649,-1.09534592533774,-1.17248144561393,-1.16650383507553,-1.0926651161919,-1.02227311182982,-1.03084998712076,-1.08235677016164,-1.20795819783134,-1.35217126280858,-1.28441217385211,-1.40873475691551,-1.12091862924307,-1.16319253666011,-1.52946236306853,-1.82874219635285,-2.24266172861164,-2.47997737608333,4.33019240356159,1.20532262561911,2.08389270489561,1.26107744435269,1.361832339751,4.77944539702324,12.1215826070675,0.0225438758869092,0.0660787244698822
2.46409066035997,1.18806465877981,2.81002930884069,4.61082012548968,2.25108478724667,4.37207573552305,8.48338483017487,-1.0785225780115,-1.0290316778257,-1.04177789883154,-1.0682990318047,-1.10957277976519,-1.22392529183498,-1.23938935073757,-1.11551630585424,-1.02877039480232,-1.03594499601283,-1.10048173217338,-1.28190926675274,-1.49861743866639,-1.39719579627394,-1.69153121480453,-1.17021674223733,-1.20217808504307,-1.64430287154329,-2.0981600051318,-2.80164342145863,-3.58030073752136,4.37398036559421,1.26872254136518,2.11484731994632,1.26965400009389,1.25792435816221,4.49016606080038,12.4435175558898,0.0234988384970013,0.0660467981223421
2.64815467431765,1.28829746392945,2.75208354801915,5.20809851774445,2.24856053937096,4.14763873882857,8.97322199913592,-1.05806560550216,-1.02469498687939,-1.03589579957763,-1.05062345681656,-1.09270382511596,-1.18119935077797,-1.17505940083607,-1.07462433123143,-1.0238694927987,-1.03043898608831,-1.06777875263963,-1.19544505983432,-1.35718515246858,-1.23863418713089,-1.27164556559182,-1.0898610710247,-1.13337084758265,-1.40549661104955,-1.63921216427784,-2.01548357790127,-1.99256452247644,4.48138139551486,1.27724890558124,2.25159420841381,1.25545844366988,1.27964077298358,4.63820121565637,12.7806560897689,0.0222603202239823,0.0660977683830984
3.37249116210188,1.7526680236785,3.60370532371725,4.88459596039997,2.3661317515663,4.92915403726868,10.3210538936159,-1.10064095175055,-1.05522480204077,-1.06143262289031,-1.09835562602277,-1.12657288069741,-1.21129582594749,-1.2692695978966,-1.11944569968796,-1.07134227200298,-1.07705702139993,-1.16504652585148,-1.24699926373358,-1.36373117474204,-1.38323665900571,-1.61647248659187,-1.29821263166908,-1.41253864570698,-2.26096696324849,-2.12992494133872,-2.28831515003814,-3.08835599218416,6.03009284096481,1.44635705443747,2.36008241649775,1.59763477525088,1.89466147897045,5.34464308116202,16.0818137107691,0.0232145642224372,0.0669503479603277
2.68308564541737,1.09523048319588,2.7452967076643,4.66679242005265,2.14539411467023,4.26206794419219,9.13198304961692,-1.06307328195652,-1.02184406064038,-1.03125808268564,-1.03627371117293,-1.08757182649161,-1.18348815290023,-1.16812725019854,-1.07576700725987,-1.01911803483744,-1.02596774329204,-1.06132268824388,-1.19899482732024,-1.4054427674883,-1.2427486229203,-1.25854657933913,-1.0732504554909,-1.11251678710738,-1.30915031213664,-1.65287092728746,-2.17127824616784,-1.9446325740035,5.04615025505229,1.27963357075133,2.18981147481443,1.16638621923268,1.41448948411512,5.17067432312152,14.5004599363952,0.0223809516738162,0.0667124759354168
2.46095182207092,1.05431791603153,2.69402307506772,4.08998725407682,1.79452885933404,3.7578388043254,8.24982002956109,-1.04684944735262,-1.01916960800695,-1.02960849568215,-1.02987968243232,-1.07609531772633,-1.15863653073722,-1.13623638365499,-1.05554396175727,-1.01586255238356,-1.02243254202957,-1.04919101884089,-1.16091397311706,-1.33003504905757,-1.18992709957069,-1.24122833623255,-1.05767817116463,-1.09768672229668,-1.2586006578697,-1.52413902104234,-1.94387712216279,-1.93757085803553,4.69221622252803,1.26590791656223,2.17052068266466,1.19352038172279,1.2650000265973,4.6234227171823,12.5463246626812,0.0219401987521961,0.0664547193918546
2.82870206196979,1.04925633671494,2.64840882091994,1.4724517496027,1.05341659688038,3.88075611985008,9.37283946007251,-1.04850812309856,-1.01980678485523,-1.02942454523414,-1.025718742752,-1.05943832753881,-1.11314342417042,-1.14038713084193,-1.05077994520213,-1.01497692693148,-1.01927232008089,-1.0343006899515,-1.09829570390478,-1.19474925700563,-1.15881817256771,-1.23400121322911,-1.03960088776247,-1.06445672734855,-1.14860613853074,-1.36903579259433,-1.59485954858946,-1.86941006461977,5.7604516218612,1.22828653874178,2.50326564238641,1.24581156600908,1.24996092449145,5.1144973890497,14.5251222620397,0.0213720034288465,0.0673178225802582
