promedios_1,promedios_2,promedios_3,promedios_4,promedios_5,promedios_6,promedios_7,promedios_8,promedios_9,promedios_10,promedios_11,promedios_12,promedios_13,promedios_14,promedios_15,promedios_16,promedios_17,promedios_18,promedios_19,promedios_20,promedios_21,promedios_22,promedios_23,promedios_24,promedios_25,promedios_26,promedios_27,promedios_28,promedios_29,promedios_30,promedios_31,promedios_32,promedios_33,promedios_34,promedios_35,promedios_36,promedios_37
1.71542665066023,2.03237023401864,2.93428995816928,2.92299296950527,1.17720182033959,1.53131571017811,4.06782439559999,-1.0260383180314,-1.02720196557511,-1.03618070015141,-1.04320290017814,-1.02383215754326,-1.03462480986712,-1.04381621257237,-1.03727194937872,-1.03184743760099,-1.03579362052519,-1.06299670903606,-1.0407050270136,-1.06161220438921,-1.04942556931201,-1.16418773489548,-1.17584805646377,-1.14060724236771,-1.25398731838067,-1.17638535284907,-1.32567111168301,-1.56734049119313,3.22090951917269,2.25115095750829,3.18202302800931,2.10052814234321,2.36099013084312,3.00404882282889,6.64712282054756,0.0299043117722273,0.128948198781621
1.65113079953031,1.82571308026382,2.47315537106402,1.8445685284644,1.06517154189733,1.26833714563191,4.05100004311611,-1.0188663535725,-1.01829881175947,-1.02102286386226,-1.01906930786498,-1.01476806643205,-1.01981794185106,-1.04208773338183,-1.02074099869597,-1.02012895799548,-1.01687876607703,-1.02104166136708,-1.02089555665611,-1.02996880786318,-1.04171265918907,-1.08630353540692,-1.08481126028333,-1.0684954347589,-1.10208948934693,-1.07844146976393,-1.13902599748959,-1.30660547600278,3.05735494650265,1.92384588619587,2.88256786900433,1.89168418405905,2.17831100469657,2.50302239268665,7.0087137991778,0.0294317342744336,0.128911736462778
2.29846177827143,3.92747499407663,3.08305000052197,2.18534775675785,1.2909555193362,1.54113854910302,4.11995211612401,-1.02316802459955,-1.0157696403775,-1.02093492429811,-1.01659658707342,-1.02246421277704,-1.02915111679953,-1.04139980723783,-1.02619481646818,-1.01725557826405,-1.01553978675295,-1.0178086967648,-1.02366026318404,-1.03364343891515,-1.04241378312559,-1.13263170851521,-1.08485007447075,-1.0654122050953,-1.08463026159782,-1.12655673393055,-1.21189552594699,-1.35790359003203,3.1198813836842,1.8553549478623,3.07234621402963,1.87360077530233,2.25804734496236,2.74047461562829,6.66593055444828,0.0292710597865725,0.128249773726828
1.94406999660195,2.49419582452321,2.9229924650321,2.11401133629476,1.35903641374558,1.72456452795171,3.70053760813453,-1.02661272656304,-1.01577954606433,-1.02056722539216,-1.01619656749749,-1.02760662478797,-1.03902750110316,-1.04079376237641,-1.05466868414307,-1.01687730946281,-1.01504957466902,-1.01681161855426,-1.05696674064324,-1.08602355188809,-1.05517170870588,-1.25210175492575,-1.0952395295414,-1.06685091537085,-1.07862490650199,-1.21603403066424,-1.36584901793528,-1.4583814087587,3.27475265172133,2.05604015441139,2.86888311145519,1.70107210695066,2.33498721942452,2.82216269796309,6.41658955965487,0.029838498042978,0.128584642219352
1.72292729374512,1.43249155826303,2.80725389940699,2.47631626020731,1.36385276787185,1.72622064168112,3.81736289367652,-1.02893980431708,-1.01526618076748,-1.02091635262882,-1.01685175308463,-1.02953600135552,-1.04084122463797,-1.04291421622123,-1.06431274349018,-1.01808657677539,-1.01787888885013,-1.02089683320838,-1.06824635527628,-1.10144816051676,-1.06411751871236,-1.32634142468261,-1.11281386068566,-1.07717644956709,-1.09539005507524,-1.30091554387262,-1.49331981160429,-1.5408373506017,3.71868163828441,2.16488049643418,2.88557863655577,1.83551614458784,2.86651347827738,3.73827399076964,6.98686363422405,0.0300382943849955,0.12961586873657
1.81241285775404,1.71303607215759,2.73084250562777,1.98926443257445,1.28998207521664,1.523138247481,3.95437459368397,-1.0232243272336,-1.02166778889199,-1.02717628473522,-1.02797293253737,-1.02237943209352,-1.03035801467641,-1.04304944778609,-1.02834495810579,-1.02032016838335,-1.02097167200105,-1.02817731315973,-1.02900637148639,-1.04494668528124,-1.04323318036706,-1.1467921960005,-1.13873088217228,-1.08630786161344,-1.11168525010674,-1.14794506860167,-1.25827134981366,-1.40632188846979,3.54324009680802,2.19490787437137,2.85292907404601,1.95575852466104,2.50350384581902,3.11148953616373,6.92037194251287,0.029591902191385,0.12931418763382
1.82935763720284,3.20307514647272,2.89398234904239,2.3082138609145,1.21706765237878,1.47198228246643,3.81782206209405,-1.01784119099816,-1.03312234661328,-1.03105494744363,-1.0301456345824,-1.0143165856634,-1.01855038644223,-1.03995650545164,-1.01872163803499,-1.04413907998839,-1.03407864117758,-1.04502983394693,-1.01660339540811,-1.02499954042818,-1.04041073346657,-1.11474226777861,-1.23149406708609,-1.12934929954685,-1.2136618074518,-1.07620692698676,-1.14799605731925,-1.53589709821785,3.16865460937366,2.3698741346062,3.11311678038289,1.88138072975358,2.22864063071493,2.77091869245828,6.53098661613842,0.0295370567249572,0.128678941241423
1.65772699860207,1.988847734215,3.15048110277728,3.32926219404357,1.32218787477636,1.65761493406156,3.66541834655637,-1.02487733559124,-1.02817549204467,-1.0317316862752,-1.02917066851262,-1.02506254459316,-1.03396619730882,-1.04260260023182,-1.03290447176691,-1.04184390067682,-1.03609043953291,-1.04919316295233,-1.03746765536854,-1.05661817576603,-1.05186622205143,-1.21315886209651,-1.18825131635256,-1.13188387931444,-1.21297255380643,-1.20667802259484,-1.34332867708362,-1.48293404362309,3.77023752526277,2.32550438600377,3.12885218494085,1.91237718560626,2.53398452401523,3.27740094091635,7.55556057898797,0.029791304315891,0.129403515946179
1.50583406492118,1.55806316040244,2.69623868980349,2.47845830386611,1.10932877162877,1.36375513840841,3.638746168323,-1.02072116641256,-1.01945218315732,-1.02983571463124,-1.03046124260228,-1.02010528574455,-1.02696757306054,-1.04090911451039,-1.02581640082314,-1.0187953833044,-1.02095823889918,-1.02797291502168,-1.02836566797992,-1.04212687626845,-1.04656492587581,-1.14333838402649,-1.0975024692371,-1.07847955892906,-1.10773689255827,-1.13469987724872,-1.22655510473689,-1.38148538683753,3.61455159531231,2.11619348673643,2.85221918556851,1.80540147368413,2.50876246970398,2.82087849270439,6.91476884670745,0.0295500877010379,0.129305816108975
1.50473351041952,1.34727104284339,2.26116507331159,2.22237332862178,1.11284671558032,1.50101741392864,3.37693888600125,-1.02773979522773,-1.02211517502983,-1.02884459504587,-1.03470844448882,-1.03575840825768,-1.05458333333778,-1.04306381678571,-1.04776655521984,-1.02233034919876,-1.02116296482259,-1.03406588112316,-1.06799882407189,-1.11046075124011,-1.05332876165292,-1.21830745720162,-1.10856906763132,-1.07871669058647,-1.12296645913329,-1.28796122532531,-1.50570527489011,-1.38186602834063,3.25367169824168,1.97200778882499,2.81190646750997,1.94180889283934,2.24603199450576,2.52444053791785,6.19692824142229,0.0303056400818489,0.128900413300941
