Datetime,value
BVP
2021-03-20 18:05:23.045570,1.702515
2021-03-20 18:05:23.061200,0.973175
2021-03-20 18:05:23.076820,0.3764648
2021-03-20 18:05:23.092450,-0.07528687
2021-03-20 18:05:23.108070,-0.3335876
2021-03-20 18:05:23.123700,-0.3660889
2021-03-20 18:05:23.139320,-0.2129517
2021-03-20 18:05:23.154950,0.006256104
2021-03-20 18:05:23.170580,0.07815552
2021-03-20 18:05:23.186200,-0.188324
2021-03-20 18:05:23.201830,-0.9091797
2021-03-20 18:05:23.217450,-2.036896
2021-03-20 18:05:23.248700,-4.740875
2021-03-20 18:05:23.264330,-5.811615
2021-03-20 18:05:23.279960,-6.4328
2021-03-20 18:05:23.295580,-6.484406
2021-03-20 18:05:23.311210,-5.944855
2021-03-20 18:05:23.326830,-4.843018
2021-03-20 18:05:23.342460,-3.27356
2021-03-20 18:05:23.358080,-1.393616
2021-03-20 18:05:23.373710,0.6010132
2021-03-20 18:05:23.389340,2.51236
2021-03-20 18:05:23.404960,4.179108
2021-03-20 18:05:23.420590,5.487061
2021-03-20 18:05:23.436210,6.418793
2021-03-20 18:05:23.451840,6.969696
2021-03-20 18:05:23.467460,7.163727
2021-03-20 18:05:23.483090,7.040436
2021-03-20 18:05:23.498720,6.645782
2021-03-20 18:05:23.514340,6.041199
2021-03-20 18:05:23.529970,5.326843
2021-03-20 18:05:23.545590,4.593201
2021-03-20 18:05:23.561220,3.893707
2021-03-20 18:05:23.576840,3.252716
2021-03-20 18:05:23.592470,2.654236
2021-03-20 18:05:23.608100,2.105591
2021-03-20 18:05:23.623720,1.640045
2021-03-20 18:05:23.639350,1.319336
2021-03-20 18:05:23.654970,1.203674
2021-03-20 18:05:23.670600,1.31958
2021-03-20 18:05:23.686220,1.608673
2021-03-20 18:05:23.701850,1.968964
2021-03-20 18:05:23.717480,2.303314
2021-03-20 18:05:23.733100,2.546417
2021-03-20 18:05:23.748730,2.682129
2021-03-20 18:05:23.764350,2.719147
2021-03-20 18:05:23.779980,2.632141
2021-03-20 18:05:23.795600,2.376892
2021-03-20 18:05:23.811230,1.908905
2021-03-20 18:05:23.826860,1.219788
2021-03-20 18:05:23.842480,0.3787537
2021-03-20 18:05:23.858110,-0.4900208
2021-03-20 18:05:23.873730,-1.279572
2021-03-20 18:05:23.889360,-1.948303
2021-03-20 18:05:23.904990,-2.562805
2021-03-20 18:05:23.920610,-3.282822
2021-03-20 18:05:23.936240,-4.238251
2021-03-20 18:05:23.951860,-5.484955
2021-03-20 18:05:23.967490,-6.936798
2021-03-20 18:05:23.983110,-8.358749
2021-03-20 18:05:23.998740,-9.467377
2021-03-20 18:05:24.014370,-10.01324
2021-03-20 18:05:24.029990,-9.836456
2021-03-20 18:05:24.045620,-8.93634
2021-03-20 18:05:24.061240,-7.438797
2021-03-20 18:05:24.076870,-5.541077
2021-03-20 18:05:24.092490,-3.456848
2021-03-20 18:05:24.108120,-1.366379
2021-03-20 18:05:24.123750,0.590271
2021-03-20 18:05:24.139370,2.3237
2021-03-20 18:05:24.155000,3.769241
2021-03-20 18:05:24.170620,4.914276
2021-03-20 18:05:24.186250,5.74678
2021-03-20 18:05:24.201870,6.267593
2021-03-20 18:05:24.217500,6.458359
2021-03-20 18:05:24.233130,6.309372
2021-03-20 18:05:24.248750,5.817444
2021-03-20 18:05:24.264380,5.042877
2021-03-20 18:05:24.280000,4.092896
2021-03-20 18:05:24.295630,3.100601
2021-03-20 18:05:24.311250,2.218399
2021-03-20 18:05:24.326880,1.517059
2021-03-20 18:05:24.342510,1.028259
2021-03-20 18:05:24.358130,0.7217407
2021-03-20 18:05:24.373760,0.5518799
2021-03-20 18:05:24.389380,0.4850006
2021-03-20 18:05:24.405010,0.5015259
2021-03-20 18:05:24.420630,0.5939178
2021-03-20 18:05:24.451890,0.8735352
2021-03-20 18:05:24.467510,0.9263916
2021-03-20 18:05:24.483140,0.8091278
2021-03-20 18:05:24.498760,0.4416656
2021-03-20 18:05:24.514390,-0.2091827
2021-03-20 18:05:24.530010,-1.132202
2021-03-20 18:05:24.545640,-2.257874
2021-03-20 18:05:24.561270,-3.458084
2021-03-20 18:05:24.576890,-4.595627
2021-03-20 18:05:24.592520,-5.528931
2021-03-20 18:05:24.608140,-6.182724
2021-03-20 18:05:24.623770,-6.585709
