,Subject,Lecture,Ch1,Ch2,Cor,Band
0,DJ02,Desi,FP1,F3,-0.04758792166329106,Theta
1,DJ02,Desi,FP1,C3,5.653488327031554,Theta
2,DJ02,Desi,FP1,PZ,2.843698377807787,Theta
3,DJ02,Desi,FP1,C4,2.020743143003821,Theta
4,DJ02,Desi,FP1,F4,-0.2950183911764321,Theta
5,DJ02,Desi,FP1,FP2,0.30097672049879487,Theta
6,DJ02,Desi,F3,C3,0.5640938963926961,Theta
7,DJ02,Desi,F3,PZ,4.857014355018952,Theta
8,DJ02,Desi,F3,C4,-0.4883636171026034,Theta
9,DJ02,Desi,F3,F4,-0.5940553817900265,Theta
10,DJ02,Desi,F3,FP2,0.5979005116751419,Theta
11,DJ02,Desi,C3,PZ,0.3281991333879883,Theta
12,DJ02,Desi,C3,C4,0.4210462879332814,Theta
13,DJ02,Desi,C3,F4,-0.7646680657771227,Theta
14,DJ02,Desi,C3,FP2,1.5871562554756264,Theta
15,DJ02,Desi,PZ,C4,0.03328761544447567,Theta
16,DJ02,Desi,PZ,F4,-0.8588643415697941,Theta
17,DJ02,Desi,PZ,FP2,-0.29303514199939995,Theta
18,DJ02,Desi,C4,F4,-0.42459343356519036,Theta
19,DJ02,Desi,C4,FP2,-0.4714058919054379,Theta
20,DJ02,Desi,F4,FP2,-0.57253644353646,Theta
21,DJ02,Desi,FP1,F3,-0.0034380853732792014,Alpha
22,DJ02,Desi,FP1,C3,6.671437748478568,Alpha
23,DJ02,Desi,FP1,PZ,-0.00919486268630945,Alpha
24,DJ02,Desi,FP1,C4,0.5808852564043189,Alpha
25,DJ02,Desi,FP1,F4,-0.3669450605762692,Alpha
26,DJ02,Desi,FP1,FP2,0.3183822384814292,Alpha
27,DJ02,Desi,F3,C3,-0.08405991337714797,Alpha
28,DJ02,Desi,F3,PZ,-0.1806179537841285,Alpha
29,DJ02,Desi,F3,C4,-0.5475534810174426,Alpha
30,DJ02,Desi,F3,F4,-0.7552058080664774,Alpha
31,DJ02,Desi,F3,FP2,0.9433292059802583,Alpha
32,DJ02,Desi,C3,PZ,0.3158177411747796,Alpha
33,DJ02,Desi,C3,C4,-0.15015874084548,Alpha
34,DJ02,Desi,C3,F4,-0.8894208743729501,Alpha
35,DJ02,Desi,C3,FP2,2.219303919668541,Alpha
36,DJ02,Desi,PZ,C4,-0.1875403256892137,Alpha
37,DJ02,Desi,PZ,F4,-0.9537186689267683,Alpha
38,DJ02,Desi,PZ,FP2,-0.6451613074905387,Alpha
39,DJ02,Desi,C4,F4,-0.6772264307526706,Alpha
40,DJ02,Desi,C4,FP2,-0.6588440312118178,Alpha
41,DJ02,Desi,F4,FP2,-0.707868519969403,Alpha
42,DJ02,Desi,FP1,F3,-0.11107036155176937,Beta
43,DJ02,Desi,FP1,C3,2.4921686734309887,Beta
44,DJ02,Desi,FP1,PZ,1.6122097425678439,Beta
45,DJ02,Desi,FP1,C4,6.030923753705306,Beta
46,DJ02,Desi,FP1,F4,-0.6093125407925389,Beta
47,DJ02,Desi,FP1,FP2,0.3721859521633551,Beta
48,DJ02,Desi,F3,C3,-0.10282139155415775,Beta
49,DJ02,Desi,F3,PZ,-0.7591440679715351,Beta
50,DJ02,Desi,F3,C4,-0.893286462773403,Beta
51,DJ02,Desi,F3,F4,-0.9513314492365744,Beta
52,DJ02,Desi,F3,FP2,1.128401688787497,Beta
53,DJ02,Desi,C3,PZ,0.4489179603822589,Beta
54,DJ02,Desi,C3,C4,1.6344920912696186,Beta
55,DJ02,Desi,C3,F4,-0.9503932267421057,Beta
56,DJ02,Desi,C3,FP2,2.853586708281473,Beta
57,DJ02,Desi,PZ,C4,0.04327845145286494,Beta
58,DJ02,Desi,PZ,F4,-0.918133235151021,Beta
59,DJ02,Desi,PZ,FP2,-0.5365524581675385,Beta
60,DJ02,Desi,C4,F4,-0.5374661250710493,Beta
61,DJ02,Desi,C4,FP2,-0.7000100087260143,Beta
62,DJ02,Desi,F4,FP2,-0.8959679656514467,Beta
63,DJ02,Prog,FP1,F3,-0.9252773868663882,Theta
64,DJ02,Prog,FP1,C3,0.44868721957123275,Theta
65,DJ02,Prog,FP1,PZ,25.346052635603296,Theta
66,DJ02,Prog,FP1,C4,6.528622812532694,Theta
67,DJ02,Prog,FP1,F4,-0.39038735003029196,Theta
68,DJ02,Prog,FP1,FP2,-0.21978472545218203,Theta
69,DJ02,Prog,F3,C3,6.32649462501313,Theta
70,DJ02,Prog,F3,PZ,0.13485844699950533,Theta
71,DJ02,Prog,F3,C4,26.75504916098531,Theta
72,DJ02,Prog,F3,F4,-0.5354172449356431,Theta
73,DJ02,Prog,F3,FP2,-0.6367114922963868,Theta
74,DJ02,Prog,C3,PZ,-0.2608023771125211,Theta
75,DJ02,Prog,C3,C4,0.8487634530827176,Theta
76,DJ02,Prog,C3,F4,2.407721472843695,Theta
77,DJ02,Prog,C3,FP2,4.010742603552385,Theta
78,DJ02,Prog,PZ,C4,-0.26093205934758984,Theta
79,DJ02,Prog,PZ,F4,3.3930697850426355,Theta
80,DJ02,Prog,PZ,FP2,3.26093541624242,Theta
81,DJ02,Prog,C4,F4,-0.9782853923218223,Theta
82,DJ02,Prog,C4,FP2,-0.9916017513375651,Theta
