,Subject,Lecture,Ch1,Ch2,Cor,Band
0,DJ02,Robo,FP1,F3,0.8775116890484189,Theta
1,DJ02,Robo,FP1,C3,0.04803657902280354,Theta
2,DJ02,Robo,FP1,PZ,0.03601050303929365,Theta
3,DJ02,Robo,FP1,C4,0.06126113009223916,Theta
4,DJ02,Robo,FP1,F4,0.7592161489738272,Theta
5,DJ02,Robo,FP1,FP2,0.7430811942060206,Theta
6,DJ02,Robo,F3,C3,0.10325646678551335,Theta
7,DJ02,Robo,F3,PZ,0.0028700721878654033,Theta
8,DJ02,Robo,F3,C4,0.028020134868387545,Theta
9,DJ02,Robo,F3,F4,0.6290709687193206,Theta
10,DJ02,Robo,F3,FP2,0.5299671461531175,Theta
11,DJ02,Robo,C3,PZ,0.303259174573312,Theta
12,DJ02,Robo,C3,C4,0.1547583117228117,Theta
13,DJ02,Robo,C3,F4,0.22984043682725264,Theta
14,DJ02,Robo,C3,FP2,0.13563005245894488,Theta
15,DJ02,Robo,PZ,C4,0.33265162937437015,Theta
16,DJ02,Robo,PZ,F4,0.15623179738982595,Theta
17,DJ02,Robo,PZ,FP2,0.18521155740731007,Theta
18,DJ02,Robo,C4,F4,0.37555280312611594,Theta
19,DJ02,Robo,C4,FP2,0.43697049837549584,Theta
20,DJ02,Robo,F4,FP2,0.9699930181560865,Theta
21,DJ02,Robo,FP1,F3,0.8076651940902417,Alpha
22,DJ02,Robo,FP1,C3,0.03242997540430786,Alpha
23,DJ02,Robo,FP1,PZ,0.10205488223847961,Alpha
24,DJ02,Robo,FP1,C4,0.09007025317674947,Alpha
25,DJ02,Robo,FP1,F4,0.7236664922397263,Alpha
26,DJ02,Robo,FP1,FP2,0.7149351848791051,Alpha
27,DJ02,Robo,F3,C3,0.1570790634596512,Alpha
28,DJ02,Robo,F3,PZ,0.012502873376232123,Alpha
29,DJ02,Robo,F3,C4,0.014244388132029565,Alpha
30,DJ02,Robo,F3,F4,0.5560116320279435,Alpha
31,DJ02,Robo,F3,FP2,0.4353349450873905,Alpha
32,DJ02,Robo,C3,PZ,0.22122131629258296,Alpha
33,DJ02,Robo,C3,C4,0.08733445179504681,Alpha
34,DJ02,Robo,C3,F4,0.19575824525119476,Alpha
35,DJ02,Robo,C3,FP2,0.08386164076860698,Alpha
36,DJ02,Robo,PZ,C4,0.31295260583088813,Alpha
37,DJ02,Robo,PZ,F4,0.24072462243606826,Alpha
38,DJ02,Robo,PZ,FP2,0.26742724338051954,Alpha
39,DJ02,Robo,C4,F4,0.5082433180603378,Alpha
40,DJ02,Robo,C4,FP2,0.5745540208818223,Alpha
