,Subject,Lecture,Ch,Band,Power
0,DJ01,Desi,FP1,Theta,0.24866556689554273
1,DJ01,Desi,F3,Theta,3.0063832069622585
2,DJ01,Desi,C3,Theta,2.3897661011934552
3,DJ01,Desi,PZ,Theta,7.178645014097165
4,DJ01,Desi,C4,Theta,1.4697404648338628
5,DJ01,Desi,F4,Theta,2.6802906816902183
6,DJ01,Desi,FP2,Theta,0.4345559919768272
7,DJ01,Desi,FP1,Alpha,0.12297762988080473
8,DJ01,Desi,F3,Alpha,1.5015642564225737
9,DJ01,Desi,C3,Alpha,1.483436269474685
10,DJ01,Desi,PZ,Alpha,3.811302342316619
11,DJ01,Desi,C4,Alpha,1.1350710394265227
12,DJ01,Desi,F4,Alpha,1.2787915346291296
13,DJ01,Desi,FP2,Alpha,0.1985616447153194
14,DJ01,Desi,FP1,Beta,0.14885986106728671
15,DJ01,Desi,F3,Beta,2.362723055260506
16,DJ01,Desi,C3,Beta,1.8430801776582453
17,DJ01,Desi,PZ,Beta,3.9675180910287917
18,DJ01,Desi,C4,Beta,1.2745622149991118
19,DJ01,Desi,F4,Beta,1.7473890715735458
20,DJ01,Desi,FP2,Beta,0.2587785813717646
21,DJ01,Prog,FP1,Theta,2.7938562577001425
22,DJ01,Prog,F3,Theta,4.545739310588055
23,DJ01,Prog,C3,Theta,5.61343879721067
24,DJ01,Prog,PZ,Theta,9.973890425796055
25,DJ01,Prog,C4,Theta,5.652297939376705
26,DJ01,Prog,F4,Theta,3.3697656020021776
27,DJ01,Prog,FP2,Theta,2.39352286976738
28,DJ01,Prog,FP1,Alpha,0.971699422117719
29,DJ01,Prog,F3,Alpha,1.6663350769001732
30,DJ01,Prog,C3,Alpha,2.1935739692288503
31,DJ01,Prog,PZ,Alpha,3.7233165918284414
32,DJ01,Prog,C4,Alpha,2.3367758791579663
33,DJ01,Prog,F4,Alpha,1.3803065523937783
34,DJ01,Prog,FP2,Alpha,0.8052788963911336
35,DJ01,Prog,FP1,Beta,0.9776816186927024
36,DJ01,Prog,F3,Beta,2.0041945881717065
37,DJ01,Prog,C3,Beta,2.1323427296927235
38,DJ01,Prog,PZ,Beta,3.205607791751908
39,DJ01,Prog,C4,Beta,1.8751883211567382
40,DJ01,Prog,F4,Beta,1.697780688591594
41,DJ01,Prog,FP2,Beta,0.7526322449001387
42,DJ01,Robo,FP1,Theta,0.6928956929009629
43,DJ01,Robo,F3,Theta,0.8241131783704758
44,DJ01,Robo,C3,Theta,1.4659807394034852
45,DJ01,Robo,PZ,Theta,7.139204433160573
46,DJ01,Robo,C4,Theta,4.447671569978238
47,DJ01,Robo,F4,Theta,2.0567226954956075
48,DJ01,Robo,FP2,Theta,0.625381865860392
49,DJ01,Robo,FP1,Alpha,0.22855371474486166
50,DJ01,Robo,F3,Alpha,0.27298421480016233
51,DJ01,Robo,C3,Alpha,0.5798969633868772
52,DJ01,Robo,PZ,Alpha,3.001844089921791
53,DJ01,Robo,C4,Alpha,2.0193229771386476
54,DJ01,Robo,F4,Alpha,0.8529410311194732
55,DJ01,Robo,FP2,Alpha,0.21224514739092154
56,DJ01,Robo,FP1,Beta,0.25466757610116986
57,DJ01,Robo,F3,Beta,0.31913627046279264
58,DJ01,Robo,C3,Beta,0.66374926414876
59,DJ01,Robo,PZ,Beta,2.927095750938628
60,DJ01,Robo,C4,Beta,2.2397664253425855
61,DJ01,Robo,F4,Beta,1.5514383757561405
62,DJ01,Robo,FP2,Beta,0.23891252082489897
63,DJ02,Desi,FP1,Theta,1.608383656451691
64,DJ02,Desi,F3,Theta,2.877033867313567
65,DJ02,Desi,C3,Theta,4.212498824921786
66,DJ02,Desi,PZ,Theta,8.354836046164678
67,DJ02,Desi,C4,Theta,4.170918453167939
68,DJ02,Desi,F4,Theta,2.499603460437001
69,DJ02,Desi,FP2,Theta,1.572753085070799
70,DJ02,Desi,FP1,Alpha,0.6581268236895685
71,DJ02,Desi,F3,Alpha,1.2248166372535456
72,DJ02,Desi,C3,Alpha,1.5796280705837238
73,DJ02,Desi,PZ,Alpha,2.651377376920208
74,DJ02,Desi,C4,Alpha,1.7648696455620119
75,DJ02,Desi,F4,Alpha,1.419721900879258
76,DJ02,Desi,FP2,Alpha,0.641778707463493
77,DJ02,Desi,FP1,Beta,2.0129593757078954
78,DJ02,Desi,F3,Beta,4.883039621424834
79,DJ02,Desi,C3,Beta,3.348381169000042
80,DJ02,Desi,PZ,Beta,3.771101730400749
81,DJ02,Desi,C4,Beta,3.9082394840865344
82,DJ02,Desi,F4,Beta,5.579396984221979
83,DJ02,Desi,FP2,Beta,2.1297292204747698
84,DJ02,Prog,FP1,Theta,0.11139054645092668
85,DJ02,Prog,F3,Theta,0.18043710480238198
86,DJ02,Prog,C3,Theta,1.0967874326539815
87,DJ02,Prog,PZ,Theta,1.8665658097033662
88,DJ02,Prog,C4,Theta,0.16617533112054733
89,DJ02,Prog,F4,Theta,1.713386208788565
90,DJ02,Prog,FP2,Theta,0.5017751954803595
91,DJ02,Prog,FP1,Alpha,0.05577116818757434
92,DJ02,Prog,F3,Alpha,0.08413407447461514
93,DJ02,Prog,C3,Alpha,0.4666760197273458
94,DJ02,Prog,PZ,Alpha,0.8950071872623022
95,DJ02,Prog,C4,Alpha,0.084602883877284
96,DJ02,Prog,F4,Alpha,0.7318613248738365
97,DJ02,Prog,FP2,Alpha,0.21800397437326247
98,DJ02,Prog,FP1,Beta,0.08066598998432803
99,DJ02,Prog,F3,Beta,0.25114352965888065
100,DJ02,Prog,C3,Beta,1.9957887462045205
101,DJ02,Prog,PZ,Beta,1.7930400409641525
102,DJ02,Prog,C4,Beta,0.13558428623601934
103,DJ02,Prog,F4,Beta,2.8632029928334517
104,DJ02,Prog,FP2,Beta,0.7801610246510234
105,DJ02,Robo,FP1,Theta,0.38423222909028687
106,DJ02,Robo,F3,Theta,1.4120409895671484
107,DJ02,Robo,C3,Theta,2.10066755949199
108,DJ02,Robo,PZ,Theta,6.81985469928497
109,DJ02,Robo,C4,Theta,3.7561787767067414
110,DJ02,Robo,F4,Theta,2.2474846046636916
111,DJ02,Robo,FP2,Theta,1.33346164900399
112,DJ02,Robo,FP1,Alpha,0.16861726459520568
113,DJ02,Robo,F3,Alpha,0.5269295300911836
114,DJ02,Robo,C3,Alpha,0.7839478822459007
115,DJ02,Robo,PZ,Alpha,2.4398134557519517
116,DJ02,Robo,C4,Alpha,1.706119295021629
117,DJ02,Robo,F4,Alpha,0.9049696167730967
118,DJ02,Robo,FP2,Alpha,0.5164728547637708
119,DJ02,Robo,FP1,Beta,0.3767429982026337
120,DJ02,Robo,F3,Beta,1.4951292708816701
121,DJ02,Robo,C3,Beta,1.9232953796828935
122,DJ02,Robo,PZ,Beta,3.274850602946085
123,DJ02,Robo,C4,Beta,3.518733584840289
