,Subject,Lecture,Ch1,Ch2,Cor,Band
66,DJ01,Prog,FP1,C4,0.32428807558081585,Theta
67,DJ01,Prog,FP1,F4,0.7532847301876007,Theta
68,DJ01,Prog,FP1,FP2,0.9488470120162027,Theta
69,DJ01,Prog,F3,C3,0.3906281706686678,Theta
70,DJ01,Prog,F3,PZ,0.0801320501164666,Theta
71,DJ01,Prog,F3,C4,0.10595305116743438,Theta
72,DJ01,Prog,F3,F4,0.35851463127196964,Theta
73,DJ01,Prog,F3,FP2,0.7778172909175336,Theta
74,DJ01,Prog,C3,PZ,0.43475201504057537,Theta
75,DJ01,Prog,C3,C4,0.3375258819607164,Theta
76,DJ01,Prog,C3,F4,0.13531984192611185,Theta
77,DJ01,Prog,C3,FP2,0.482174026986982,Theta
78,DJ01,Prog,PZ,C4,0.4852697597929964,Theta
79,DJ01,Prog,PZ,F4,0.0775372054997766,Theta
80,DJ01,Prog,PZ,FP2,0.26894788567895384,Theta
81,DJ01,Prog,C4,F4,0.33437683831319576,Theta
82,DJ01,Prog,C4,FP2,0.4626684194878554,Theta
83,DJ01,Prog,F4,FP2,0.7059549881118318,Theta
84,DJ01,Prog,FP1,F3,0.6349986151900293,Alpha
85,DJ01,Prog,FP1,C3,0.4196055969221469,Alpha
86,DJ01,Prog,FP1,PZ,0.19336755989895837,Alpha
87,DJ01,Prog,FP1,C4,0.19763052495204353,Alpha
88,DJ01,Prog,FP1,F4,0.6800786352106212,Alpha
89,DJ01,Prog,FP1,FP2,0.8998880407829969,Alpha
90,DJ01,Prog,F3,C3,0.3390408715270253,Alpha
91,DJ01,Prog,F3,PZ,0.04255541367577651,Alpha
92,DJ01,Prog,F3,C4,0.04140123558117191,Alpha
93,DJ01,Prog,F3,F4,0.19555716920722782,Alpha
94,DJ01,Prog,F3,FP2,0.6933197237219789,Alpha
95,DJ01,Prog,C3,PZ,0.3140986827755189,Alpha
96,DJ01,Prog,C3,C4,0.1252335568236806,Alpha
97,DJ01,Prog,C3,F4,0.06904125411208982,Alpha
98,DJ01,Prog,C3,FP2,0.365821066069944,Alpha
99,DJ01,Prog,PZ,C4,0.3145987469236161,Alpha
100,DJ01,Prog,PZ,F4,0.03822974125627569,Alpha
101,DJ01,Prog,PZ,FP2,0.19580523464858085,Alpha
102,DJ01,Prog,C4,F4,0.2929596049129358,Alpha
103,DJ01,Prog,C4,FP2,0.385933419515225,Alpha
104,DJ01,Prog,F4,FP2,0.6251012752369608,Alpha
105,DJ01,Prog,FP1,F3,0.4974817701565765,Beta
106,DJ01,Prog,FP1,C3,0.32014237911613164,Beta
107,DJ01,Prog,FP1,PZ,0.0991877728415761,Beta
108,DJ01,Prog,FP1,C4,0.12321648968704059,Beta
109,DJ01,Prog,FP1,F4,0.6460476373578228,Beta
110,DJ01,Prog,FP1,FP2,0.8769260043264769,Beta
111,DJ01,Prog,F3,C3,0.26463962860881896,Beta
112,DJ01,Prog,F3,PZ,0.012356754482520502,Beta
113,DJ01,Prog,F3,C4,0.00796654125330993,Beta
114,DJ01,Prog,F3,F4,0.06474126544394905,Beta
115,DJ01,Prog,F3,FP2,0.656478101172867,Beta
116,DJ01,Prog,C3,PZ,0.2761604832254683,Beta
117,DJ01,Prog,C3,C4,0.07388678717848907,Beta
118,DJ01,Prog,C3,F4,0.017814003510133094,Beta
119,DJ01,Prog,C3,FP2,0.2864058655417284,Beta
120,DJ01,Prog,PZ,C4,0.26933170006082924,Beta
121,DJ01,Prog,PZ,F4,0.00429047729400979,Beta
122,DJ01,Prog,PZ,FP2,0.10456208875506318,Beta
123,DJ01,Prog,C4,F4,0.189332748789855,Beta
124,DJ01,Prog,C4,FP2,0.273712371134879,Beta
125,DJ01,Prog,F4,FP2,0.49402049558916894,Beta
126,DJ01,Robo,FP1,F3,0.4470484204168156,Theta
127,DJ01,Robo,FP1,C3,0.46877427308748976,Theta
128,DJ01,Robo,FP1,PZ,0.2906203871531795,Theta
129,DJ01,Robo,FP1,C4,0.45479195175277715,Theta
130,DJ01,Robo,FP1,F4,0.6076483894775102,Theta
131,DJ01,Robo,FP1,FP2,0.9749497267444285,Theta
132,DJ01,Robo,F3,C3,0.4760853661404431,Theta
133,DJ01,Robo,F3,PZ,0.09355555530470541,Theta
134,DJ01,Robo,F3,C4,0.06894072206499126,Theta
135,DJ01,Robo,F3,F4,0.10338052518210467,Theta
136,DJ01,Robo,F3,FP2,0.36790746399363233,Theta
137,DJ01,Robo,C3,PZ,0.2908313795661372,Theta
138,DJ01,Robo,C3,C4,0.13767377980406506,Theta
139,DJ01,Robo,C3,F4,0.028895150231484576,Theta
140,DJ01,Robo,C3,FP2,0.3776755744534247,Theta
141,DJ01,Robo,PZ,C4,0.3744122970954679,Theta
142,DJ01,Robo,PZ,F4,0.008082367576423343,Theta
143,DJ01,Robo,PZ,FP2,0.28164223186847837,Theta
144,DJ01,Robo,C4,F4,0.16116214258984038,Theta
145,DJ01,Robo,C4,FP2,0.5904772211175724,Theta
146,DJ01,Robo,F4,FP2,0.6213795474546586,Theta
147,DJ01,Robo,FP1,F3,0.36237992900606353,Alpha
148,DJ01,Robo,FP1,C3,0.3409212571595201,Alpha
149,DJ01,Robo,FP1,PZ,0.191496807573409,Alpha
150,DJ01,Robo,FP1,C4,0.33190162856457867,Alpha
151,DJ01,Robo,FP1,F4,0.563912207990849,Alpha
152,DJ01,Robo,FP1,FP2,0.9569342036077213,Alpha
153,DJ01,Robo,F3,C3,0.5231107208965896,Alpha
154,DJ01,Robo,F3,PZ,0.04573249992535571,Alpha
155,DJ01,Robo,F3,C4,0.012578444604456404,Alpha
156,DJ01,Robo,F3,F4,0.042405284173187494,Alpha
157,DJ01,Robo,F3,FP2,0.25956620422844773,Alpha
158,DJ01,Robo,C3,PZ,0.19809729945163934,Alpha
159,DJ01,Robo,C3,C4,0.03181912577376898,Alpha
160,DJ01,Robo,C3,F4,0.004786768947874992,Alpha
161,DJ01,Robo,C3,FP2,0.2280693137949133,Alpha
162,DJ01,Robo,PZ,C4,0.22012969295600432,Alpha
163,DJ01,Robo,PZ,F4,0.002831132641391219,Alpha
164,DJ01,Robo,PZ,FP2,0.17047116338837628,Alpha
165,DJ01,Robo,C4,F4,0.09966717478686128,Alpha
166,DJ01,Robo,C4,FP2,0.5126987370035325,Alpha
167,DJ01,Robo,F4,FP2,0.5796072275096584,Alpha
