,Subject,Lecture,Ch,Band,Power
0,DJ02,Desi,FP1,Theta,0.18299914977614168
1,DJ02,Desi,F3,Theta,-0.03151298083436041
2,DJ02,Desi,C3,Theta,0.28955485517998364
3,DJ02,Desi,PZ,Theta,0.6512879151894685
4,DJ02,Desi,C4,Theta,0.07456319594515208
5,DJ02,Desi,F4,Theta,0.449037680884738
6,DJ02,Desi,FP2,Theta,-0.37811301366066213
7,DJ02,Desi,FP1,Alpha,0.39697064897040857
8,DJ02,Desi,F3,Alpha,0.18360832079619202
9,DJ02,Desi,C3,Alpha,-0.019962443860019326
10,DJ02,Desi,PZ,Alpha,0.31173491915225293
11,DJ02,Desi,C4,Alpha,-0.02581181008162
12,DJ02,Desi,F4,Alpha,1.1051592603234544
13,DJ02,Desi,FP2,Alpha,-0.37167194972582407
14,DJ02,Desi,FP1,Beta,0.6688650436464071
15,DJ02,Desi,F3,Beta,0.5695923671572943
16,DJ02,Desi,C3,Beta,0.1485220834020337
17,DJ02,Desi,PZ,Beta,0.2027054533320601
18,DJ02,Desi,C4,Beta,-0.005122769646996113
19,DJ02,Desi,F4,Beta,2.8639452760738138
20,DJ02,Desi,FP2,Beta,0.02063534966809487
21,DJ02,Prog,FP1,Theta,-0.9180699696767256
22,DJ02,Prog,F3,Theta,-0.9392600150584565
23,DJ02,Prog,C3,Theta,-0.6642449962213124
24,DJ02,Prog,PZ,Theta,-0.6310834171445019
25,DJ02,Prog,C4,Theta,-0.957187871951677
26,DJ02,Prog,F4,Theta,-0.006737981548153556
27,DJ02,Prog,FP2,Theta,-0.8015915739735677
28,DJ02,Prog,FP1,Alpha,-0.8816175207993298
29,DJ02,Prog,F3,Alpha,-0.9186965725466164
30,DJ02,Prog,C3,Alpha,-0.7104634727631093
31,DJ02,Prog,PZ,Alpha,-0.557206684101713
32,DJ02,Prog,C4,Alpha,-0.9533001598653251
33,DJ02,Prog,F4,Alpha,0.08520171758749133
34,DJ02,Prog,FP2,Alpha,-0.786565040913631
35,DJ02,Prog,FP1,Beta,-0.9331230165295142
36,DJ02,Prog,F3,Beta,-0.9192730352864722
37,DJ02,Prog,C3,Beta,-0.31542816270655005
38,DJ02,Prog,PZ,Beta,-0.42815145560097134
39,DJ02,Prog,C4,Beta,-0.9654858102429188
40,DJ02,Prog,F4,Beta,0.9828773091223125
41,DJ02,Prog,FP2,Beta,-0.6261215216765396
42,DJ02,Robo,FP1,Theta,-0.7173893190800066
43,DJ02,Robo,F3,Theta,-0.524669005651111
44,DJ02,Robo,C3,Theta,-0.3569313219897978
45,DJ02,Robo,PZ,Theta,0.3479071984239638
46,DJ02,Robo,C4,Theta,-0.03228712904379804
47,DJ02,Robo,F4,Theta,0.3028826095466629
48,DJ02,Robo,FP2,Theta,-0.4727319538140692
49,DJ02,Robo,FP1,Alpha,-0.6420851406289322
50,DJ02,Robo,F3,Alpha,-0.49079873891356474
51,DJ02,Robo,C3,Alpha,-0.5136207180887367
52,DJ02,Robo,PZ,Alpha,0.20706638518764128
53,DJ02,Robo,C4,Alpha,-0.05824134265017424
54,DJ02,Robo,F4,Alpha,0.34188615945234646
55,DJ02,Robo,FP2,Alpha,-0.49435159178801913
56,DJ02,Robo,FP1,Beta,-0.6876572733029893
57,DJ02,Robo,F3,Beta,-0.5194092873642181
58,DJ02,Robo,C3,Beta,-0.34029397939465167
