,True_values,Predicted_values
3,-0.5,0.35
31,-0.4,-0.06
29,-0.3,-0.07
30,-0.3,0.29
2,-0.3,-0.05
11,-0.3,0.26
9,-0.3,-0.05
10,-0.3,0.61
16,-0.2,-0.07
23,-0.1,0.42
12,-0.1,-0.08
35,-0.1,-0.08
7,-0.1,-0.08
4,0.0,0.4
8,0.0,0.26
19,0.1,-0.1
32,0.1,0.38
14,0.1,0.51
15,0.1,0.25
1,0.2,0.24
6,0.3,0.23
5,0.3,0.52
21,0.4,0.5
28,0.5,0.48
24,0.5,0.21
20,0.5,0.31
22,0.6,-0.17
25,0.6,0.29
33,0.6,0.46
34,0.6,0.2
0,0.7,0.28
18,0.8,0.18
13,0.8,0.3
17,0.8,0.43
26,1.3,0.35
27,1.3,0.13
