,Feature,Correlation,P
91,hr_mad-D-HRV_MadNN,0.23477794683597095,1.6170857797222914e-11
92,hr_mad-D-HRV_MCVNN,0.2821816168012059,3.6395611120302926e-16
93,hr_mad-D-HRV_IQRNN,0.29785547709271376,6.479766329428623e-18
94,hr_mad-M-HRV_TINN,0.1741049646379084,6.908065731621372e-07
95,hr_mad-D-HRV_TINN,0.3073998158323983,4.921553235308045e-19
96,hr_mad-M-HRV_HTI,0.1413400825500061,5.841004935427446e-05
97,hr_mad-D-HRV_LF,0.15308491963603366,1.3188475003543362e-05
98,hr_mad-D-HRV_LFHF,0.24359162711296906,2.603165174120342e-12
99,hr_mad-M-HRV_LFn,0.08707096369525183,0.013579540177745172
100,hr_mad-M-HRV_HFn,0.20603535993307265,3.7989509384436705e-09
101,hr_mad-M-HRV_LnHF,0.12207514809061581,0.0005265764746483542
102,hr_mad-D-HRV_LnHF,0.2669351740903213,1.4436313451776224e-14
103,hr_mad-D-HRV_S,0.34999136127110647,1.4921461786703179e-24
104,hr_mad-M-HRV_PAS,0.08757917369070937,0.013040582569034249
105,hr_mad-D-HRV_PAS,0.10419101214107986,0.0031172121492513212
106,hr_mad-D-HRV_ApEn,0.1283522804458675,0.0002657553477948371
107,hr_mad-D-HRV_SampEn,0.17658792236285054,4.7573891107530193e-07
108,hr_mad-M-HRV_MSE,0.1980030190888808,1.5293925302385833e-08
109,hr_mad-M-HRV_CMSE,0.17162646555735683,9.97197829551736e-07
110,hr_mad-D-HRV_DFA,0.16657076799312798,2.074791080401752e-06
111,hr_mad-M-HRV_CorrDim,0.2536618607801764,2.952386340606171e-13
112,hr_mad-D-HRV_CorrDim,0.13316570143263234,0.00015399356869584159
113,breathingrate-D-hr_mad,0.13282821766119457,0.000160096202709644
114,breathingrate-M-HRV_RMSSD,0.19312990554546625,3.462891059367737e-08
115,breathingrate-D-HRV_RMSSD,0.11055756368188813,0.0017031350696259649
116,breathingrate-M-HRV_TINN,0.22082115040799905,2.5164896963726896e-10
117,breathingrate-D-HRV_TINN,0.1544667855676206,1.0987858390725159e-05
118,breathingrate-D-HRV_HTI,0.07351092490101485,0.0372812092202679
119,breathingrate-M-HRV_LF,0.13620857777046674,0.00010802448837995454
120,breathingrate-D-HRV_LF,0.21659745357205146,5.575524964270955e-10
121,breathingrate-M-HRV_HF,0.24256394383135998,3.2331406854931072e-12
122,breathingrate-M-HRV_VHF,0.25126052031113366,5.005037191683574e-13
123,breathingrate-D-HRV_LFHF,0.12320014180550391,0.00046691307467358796
124,breathingrate-M-HRV_LFn,0.15729263457594725,7.5274256427214355e-06
125,breathingrate-M-HRV_LnHF,0.2084944245864272,2.4519679095765155e-09
126,breathingrate-D-HRV_LnHF,0.14141874619749795,5.7852461385976694e-05
127,breathingrate-M-HRV_S,0.218012230954715,4.279002030244179e-10
128,breathingrate-D-HRV_S,0.18060193933377655,2.5742828028360326e-07
129,breathingrate-M-HRV_PAS,0.07811665397436555,0.02685999370799769
130,breathingrate-M-HRV_SampEn,0.15236070280750347,1.4503441879482296e-05
131,breathingrate-D-HRV_SampEn,0.18665761999972377,9.928985038865678e-08
132,breathingrate-M-HRV_MSE,0.08395623475936694,0.017332125714307492
133,breathingrate-D-HRV_CMSE,0.12303126576307678,0.0004754485369103185
134,breathingrate-M-HRV_DFA,0.09623833449099126,0.006348450462466921
135,breathingrate-M-HRV_CorrDim,0.13554296255043607,0.00011681044690889619
136,breathingrate-D-HRV_CorrDim,0.20273078829616692,6.784385842056736e-09
137,vlf-L,0.12018404476954828,0.0006430906202501553
138,vlf-D-p_total,0.06933214405628439,0.04953173441446792
139,lf-D-vlf,0.13088096967254145,0.00019998260209463448
140,lf-D-HRV_VHF,0.09933770286338006,0.004839242265994047
141,hf-D-HRV_VHF,0.08391942164949534,0.017381430346563625
142,HRV_RMSSD-D-hr_mad,0.2653548386983634,2.0865008670225606e-14
143,HRV_RMSSD-D-breathingrate,0.14290737711913523,4.820334442359611e-05
144,HRV_RMSSD-M-HRV_MadNN,0.18661592365349822,9.995413305271441e-08
145,HRV_RMSSD-D-HRV_MadNN,0.21053791168099156,1.6971311734536728e-09
146,HRV_RMSSD-D-HRV_MCVNN,0.17129342206646275,1.0472036472078838e-06
147,HRV_RMSSD-D-HRV_IQRNN,0.176750527981191,4.6417381444315813e-07
148,HRV_RMSSD-D-HRV_TINN,0.19133330799007367,4.655985832145057e-08
