promedios_1,promedios_2,promedios_3,promedios_4,promedios_5,promedios_6,promedios_7,promedios_8,promedios_9,promedios_10,promedios_11,promedios_12,promedios_13,promedios_14,promedios_15,promedios_16,promedios_17,promedios_18,promedios_19,promedios_20,promedios_21,promedios_22,promedios_23,promedios_24,promedios_25,promedios_26,promedios_27,promedios_28,promedios_29,promedios_30,promedios_31,promedios_32,promedios_33,promedios_34,promedios_35,promedios_36,promedios_37
2.10589153743975,1.12547224305044,2.71499808093286,5.37779360669249,1.9419998031865,1.44858846068123,4.9384872895601,-1.03953255447355,-1.01228058797692,-1.02481311257895,-1.01975309069091,-1.04361162605899,-1.02811155513283,-1.08059359854135,-1.05267838952504,-1.00943179072212,-1.01558116488179,-1.01847334735812,-1.0593922046913,-1.02971148820708,-1.09120545866623,-1.16614108802686,-1.03814917792608,-1.0822486908639,-1.09056708644021,-1.15059727337918,-1.05710736824172,-1.32138106976359,4.73651537867025,1.28806470387873,2.26203950255995,1.13121544438571,1.59646725860834,2.39626391861488,10.2129076637779,0.0422378404979038,0.167847284362048
2.47598010248135,1.80524601319203,3.19106848059069,5.84957532562878,2.24118645309259,1.87042173808662,5.64740636663349,-1.04729485171298,-1.02221661770165,-1.03662171749416,-1.03415082852551,-1.05628906447087,-1.04095619975979,-1.09981674773541,-1.05899673905484,-1.02376323817206,-1.03331939155442,-1.05528178608664,-1.07112425793684,-1.04512353995473,-1.11283547450061,-1.82609099569296,-1.25410942951571,-1.26632634589609,-1.39358373900691,-1.35308240800417,-3.12270770818632,-3.45845134956489,4.77716052553801,1.41634847261775,2.38464864462081,1.23955153355718,1.69345789130268,2.547335041862,10.6008288382262,0.0427052885452741,0.16718342818717
2.46600912314455,1.52613718130847,3.84256873552768,8.40127153888086,2.82618105472503,1.97137384860459,5.56576260873829,-1.04759835367806,-1.0229407489804,-1.03756663711953,-1.02907381254201,-1.04630529774544,-1.04189253683853,-1.09482709620848,-1.0594949228977,-1.02036538052758,-1.02945945016753,-1.02955788926719,-1.0544430454529,-1.04687880983266,-1.10705228284267,-2.17689358841196,-1.26397675491621,-1.29810369530256,-1.30889410481161,-1.38314318015883,-4.6823571237389,-4.73100090147911,4.59845895535344,1.6219170269479,2.68961047185908,1.40918857762495,2.04492128761268,2.74479086012242,10.1087472588005,0.0419232442688158,0.166208223127471
2.39029811118197,1.76121235813403,3.50575698149154,5.85765979833397,2.13478078795841,2.0706061335689,5.77954815157019,-1.05386461870769,-1.05576359059867,-1.07878835289417,-1.07409662627489,-1.06644809890827,-1.05406442912723,-1.11635216936017,-1.07131530527073,-1.04296406087478,-1.0561137297159,-1.07923086701805,-1.07768161150897,-1.05683639393493,-1.14206441549792,-1.82371320217617,-1.41066105371645,-1.4660687310537,-1.71488549530982,-1.52712914440865,-3.46077585916136,-3.44711980108669,4.34105706939715,1.56718695281189,2.53652155226125,1.41698769999251,1.65607920052829,2.41560326480946,9.59929194585024,0.0434005212729322,0.165813745133425
2.65271706091226,1.93328143130671,3.53015626099907,4.77605725668378,2.11278684645358,1.97816917678001,6.23056721521828,-1.04918245304332,-1.05373460349436,-1.07268061113201,-1.06234135821488,-1.05150138996839,-1.04449860898533,-1.10828992884686,-1.06123213998017,-1.0388258274209,-1.05055796866709,-1.06671493297594,-1.06205387369533,-1.04843880369737,-1.12146678612246,-1.44440460338564,-1.32274823064674,-1.39536116587552,-1.56498188231202,-1.40537291730688,-2.36252653016734,-2.24930305796165,5.27789162830222,1.57138524777761,2.58626523511103,1.35664708958489,1.73315405249545,2.61602981156039,11.8421002877327,0.0431099712886197,0.168263134606964
3.11637451979474,1.81236011017212,3.54749940986947,4.08595170277772,2.58887475000476,2.31197300070353,6.92028858573522,-1.07221643847449,-1.03709433736817,-1.04879526343506,-1.04972318528815,-1.09650357155766,-1.05948311519594,-1.12914466163321,-1.09901713588364,-1.04011528497089,-1.04412724254722,-1.05934927637705,-1.1588903482789,-1.08427911427221,-1.17175712141582,-1.77303736171645,-1.35064325191456,-1.39814641425176,-1.49927060421925,-1.57924362842469,-2.88563262299741,-2.96664712349522,6.10639968947198,1.60111897527548,2.65541023764332,1.51361637706582,2.18016518752377,3.0517124365034,13.8664926895424,0.0439119851023254,0.170181119150961
3.96504545029493,1.33212127343226,2.969376414507,4.77295630377488,2.68551950391566,4.80002797283115,13.5440979533571,-1.15008548298356,-1.03160661256897,-1.04242697964902,-1.05166133377481,-1.12573989876551,-1.21851485802713,-1.58140672389973,-1.28285344760913,-1.04188717319274,-1.0432048692694,-1.07786022607788,-1.22775554835591,-1.4503008677605,-2.17716166453682,-2.86219467839754,-1.17632116447827,-1.22306833285078,-1.44287715902122,-1.88666780131844,-3.4690654596071,-9.00108700733753,5.91847214790609,1.43667293079027,2.32725618244865,1.16915415545277,1.44973523627375,5.61294863965816,19.3399329193941,0.0162524547018183,0.057246598461132
3.11584046072214,1.17146146251737,2.93907173274311,4.13122727833585,2.53252902396825,4.51190774656818,11.0452636718786,-1.10123626987036,-1.0244504343609,-1.0366104439584,-1.03937467887821,-1.12004106742736,-1.20547095799009,-1.41350488844503,-1.16910698145138,-1.02813803233844,-1.03237877972288,-1.05265500674192,-1.19591170442141,-1.33563695189714,-1.7082738208445,-1.99832100434926,-1.12497359090083,-1.16722107161413,-1.24940374573171,-1.68810910373977,-2.68549774228111,-5.38047178853244,5.26074796574702,1.4579728528977,2.6193146017362,1.19580190745281,1.47437063498332,5.25355359551515,17.3363683906109,0.0146830331747649,0.057172502698722
3.06062436027806,1.39119556081581,2.95358477309458,3.72748411728738,2.34243812185486,4.35109759834884,10.5769800080473,-1.10226643254054,-1.02363869473618,-1.04154718104262,-1.04394689838669,-1.10102212477249,-1.16943124804953,-1.39934838941676,-1.17480642213676,-1.02892416561913,-1.0330924150679,-1.05138823189435,-1.14389818344171,-1.28877120155955,-1.72750496360306,-2.28706749646575,-1.16137906851041,-1.19002606256245,-1.3116033488968,-1.46640562950179,-2.64875854728749,-6.61635310323975,5.29714978071371,1.45052066492595,2.60446132608152,1.3116484514593,1.56173567330484,5.03075848705635,16.5934352553025,0.014487138079117,0.0570978097139175
2.68719735931874,1.17470686514044,3.04093155980009,5.5410306222563,2.21427992249362,3.59799008681965,9.29280117837294,-1.06668438489561,-1.01842654475992,-1.03349600990219,-1.02890543107193,-1.07087768161053,-1.11473345007431,-1.24652155117488,-1.10140675633815,-1.02002452444033,-1.02640465825552,-1.03493709895671,-1.11116554762714,-1.20111804976513,-1.41005397455347,-1.75785815182943,-1.10364501583585,-1.12933256009279,-1.1810508814122,-1.31553653980482,-1.9975122414278,-4.2577640767824,4.46548634685856,1.36380221263335,2.40997394478287,1.17458994876644,1.26884947601426,4.16247871983796,13.849687182659,0.0131756691399331,0.0561701150256403
