Subject,Lecture,Ch1,Ch2,Cor,Band
DJ02,Desi,C4,FP2,0.5745540208818223,Alpha
DJ02,Desi,F4,FP2,0.9617770902040887,Alpha
DJ02,Desi,FP1,F3,0.8756098841981994,Beta
DJ02,Desi,FP1,C3,0.0698482366279379,Beta
DJ02,Desi,FP1,PZ,0.0257376071954132,Beta
DJ02,Desi,FP1,C4,0.0136791430565437,Beta
DJ02,Desi,FP1,F4,0.7356698317909887,Beta
DJ02,Desi,FP1,FP2,0.668031288403676,Beta
DJ02,Desi,F3,C3,0.1872341805073881,Beta
DJ02,Desi,F3,PZ,0.0246218737150449,Beta
DJ02,Desi,F3,C4,0.0381569579190843,Beta
DJ02,Desi,F3,F4,0.5591890384343138,Beta
DJ02,Desi,F3,FP2,0.4151249467882569,Beta
DJ02,Desi,C3,PZ,0.2404311270120751,Beta
DJ02,Desi,C3,C4,0.0292871476761417,Beta
DJ02,Desi,C3,F4,0.1732879414855673,Beta
DJ02,Desi,C3,FP2,0.0729767516497144,Beta
DJ02,Desi,PZ,C4,0.2693817442183669,Beta
DJ02,Desi,PZ,F4,0.1341169656916964,Beta
DJ02,Desi,PZ,FP2,0.1468860530425777,Beta
DJ02,Desi,C4,F4,0.2921996223054008,Beta
DJ02,Desi,C4,FP2,0.3963813646871767,Beta
DJ02,Desi,F4,FP2,0.9602571739707167,Beta
DJ02,Prog,FP1,F3,0.8775116890484189,Theta
DJ02,Prog,FP1,C3,0.0480365790228035,Theta
DJ02,Prog,FP1,PZ,0.0360105030392936,Theta
DJ02,Prog,FP1,C4,0.0612611300922391,Theta
DJ02,Prog,FP1,F4,0.7592161489738272,Theta
DJ02,Prog,FP1,FP2,0.7430811942060206,Theta
DJ02,Prog,F3,C3,0.1032564667855133,Theta
DJ02,Prog,F3,PZ,0.0028700721878654,Theta
DJ02,Prog,F3,C4,0.0280201348683875,Theta
DJ02,Prog,F3,F4,0.6290709687193206,Theta
DJ02,Prog,F3,FP2,0.5299671461531175,Theta
DJ02,Prog,C3,PZ,0.303259174573312,Theta
DJ02,Prog,C3,C4,0.1547583117228117,Theta
DJ02,Prog,C3,F4,0.2298404368272526,Theta
DJ02,Prog,C3,FP2,0.1356300524589448,Theta
DJ02,Prog,PZ,C4,0.3326516293743701,Theta
DJ02,Prog,PZ,F4,0.1562317973898259,Theta
DJ02,Prog,PZ,FP2,0.18521155740731,Theta
DJ02,Prog,C4,F4,0.3755528031261159,Theta
DJ02,Prog,C4,FP2,0.4369704983754958,Theta
DJ02,Prog,F4,FP2,0.9699930181560864,Theta
DJ02,Prog,FP1,F3,0.8076651940902417,Alpha
DJ02,Prog,FP1,C3,0.0324299754043078,Alpha
DJ02,Prog,FP1,PZ,0.1020548822384796,Alpha
DJ02,Prog,FP1,C4,0.0900702531767494,Alpha
DJ02,Prog,FP1,F4,0.7236664922397263,Alpha
DJ02,Prog,FP1,FP2,0.7149351848791051,Alpha
DJ02,Prog,F3,C3,0.1570790634596512,Alpha
DJ02,Prog,F3,PZ,0.0125028733762321,Alpha
