,Subject,Lecture,Ch,Band,Power
144,DT02,Prog,C4,Beta,2.437000042871942
145,DT02,Prog,F4,Beta,1.6937814172118482
146,DT02,Prog,FP2,Beta,1.4501853262044115
147,DT02,Robo,FP1,Theta,3.6779691969238235
148,DT02,Robo,F3,Theta,3.0564028103174232
149,DT02,Robo,C3,Theta,2.079994398382901
150,DT02,Robo,PZ,Theta,7.705119082640089
151,DT02,Robo,C4,Theta,5.510174714439656
152,DT02,Robo,F4,Theta,4.062516181757201
153,DT02,Robo,FP2,Theta,3.791888015390584
154,DT02,Robo,FP1,Alpha,0.6988219136391691
155,DT02,Robo,F3,Alpha,0.7729450465821669
156,DT02,Robo,C3,Alpha,0.4785533174392975
157,DT02,Robo,PZ,Alpha,2.023386997954421
158,DT02,Robo,C4,Alpha,1.417686011816224
159,DT02,Robo,F4,Alpha,0.9671823183161793
160,DT02,Robo,FP2,Alpha,0.7655001677141454
161,DT02,Robo,FP1,Beta,1.1649675435559033
162,DT02,Robo,F3,Beta,1.569872081651918
163,DT02,Robo,C3,Beta,0.6621837693140532
164,DT02,Robo,PZ,Beta,2.4979607083850572
165,DT02,Robo,C4,Beta,2.440803362817271
166,DT02,Robo,F4,Beta,2.1737993599940806
167,DT02,Robo,FP2,Beta,1.4865910320342488
168,DT03,Desi,FP1,Theta,5.718845455101061
169,DT03,Desi,F3,Theta,3.4672258156380478
170,DT03,Desi,C3,Theta,4.442874188818772
171,DT03,Desi,PZ,Theta,4.450614685595064
172,DT03,Desi,C4,Theta,3.0786910107692425
173,DT03,Desi,F4,Theta,3.489577731961118
174,DT03,Desi,FP2,Theta,5.773699649744119
175,DT03,Desi,FP1,Alpha,2.085968368211247
176,DT03,Desi,F3,Alpha,1.2721886119484946
177,DT03,Desi,C3,Alpha,1.7609181247405035
178,DT03,Desi,PZ,Alpha,2.4758345818633414
179,DT03,Desi,C4,Alpha,1.1517783553395655
180,DT03,Desi,F4,Alpha,1.2921681718256526
181,DT03,Desi,FP2,Alpha,2.1056592284528333
182,DT03,Desi,FP1,Beta,4.527852659602574
183,DT03,Desi,F3,Beta,2.5663542556396783
184,DT03,Desi,C3,Beta,3.317416601691152
185,DT03,Desi,PZ,Beta,4.557386686951419
186,DT03,Desi,C4,Beta,2.770517161889998
187,DT03,Desi,F4,Beta,5.150598032373582
188,DT03,Desi,FP2,Beta,4.623338856383738
189,DT03,Robo,FP1,Theta,2.2632680142988684
190,DT03,Robo,F3,Theta,3.2330609889509763
191,DT03,Robo,C3,Theta,1.6494829736247463
192,DT03,Robo,PZ,Theta,6.861139412615217
193,DT03,Robo,C4,Theta,1.0149544601598757
194,DT03,Robo,F4,Theta,2.9343189938963925
195,DT03,Robo,FP2,Theta,2.4434518391532336
196,DT03,Robo,FP1,Alpha,1.0756090888950007
197,DT03,Robo,F3,Alpha,1.5913456736356892
198,DT03,Robo,C3,Alpha,0.9302162214289383
199,DT03,Robo,PZ,Alpha,2.742306949551313
