Subject,Lecture,Ch,Band,Power
DJ03,Desi,FP1,Theta,4.023163755018963
DJ03,Desi,F3,Theta,3.6592404019250386
DJ03,Desi,C3,Theta,3.7342000878775066
DJ03,Desi,PZ,Theta,4.985941763055054
DJ03,Desi,C4,Theta,2.0241350729538166
DJ03,Desi,F4,Theta,2.979534767450974
DJ03,Desi,FP2,Theta,3.0910420736347084
DJ03,Desi,FP1,Alpha,1.1126011079566696
DJ03,Desi,F3,Alpha,1.1053701164502456
DJ03,Desi,C3,Alpha,1.3497540297833475
DJ03,Desi,PZ,Alpha,1.9699470300168644
DJ03,Desi,C4,Alpha,0.5903328724937208
DJ03,Desi,F4,Alpha,1.0039099133343323
DJ03,Desi,FP2,Alpha,0.8117087422678214
DJ03,Desi,FP1,Beta,1.390050629688063
DJ03,Desi,F3,Beta,1.6242589590510699
DJ03,Desi,C3,Beta,2.067273238013496
DJ03,Desi,PZ,Beta,2.0673328320586997
DJ03,Desi,C4,Beta,0.7797647747129732
DJ03,Desi,F4,Beta,1.6649392746401772
DJ03,Desi,FP2,Beta,0.9416134288250628
DJ03,Prog,FP1,Theta,4.023163755018963
DJ03,Prog,F3,Theta,3.6592404019250386
DJ03,Prog,C3,Theta,3.7342000878775066
DJ03,Prog,PZ,Theta,4.985941763055054
DJ03,Prog,C4,Theta,2.0241350729538166
DJ03,Prog,F4,Theta,2.979534767450974
DJ03,Prog,FP2,Theta,3.0910420736347084
DJ03,Prog,FP1,Alpha,1.1126011079566696
DJ03,Prog,F3,Alpha,1.1053701164502456
DJ03,Prog,C3,Alpha,1.3497540297833475
DJ03,Prog,PZ,Alpha,1.9699470300168644
DJ03,Prog,C4,Alpha,0.5903328724937208
DJ03,Prog,F4,Alpha,1.0039099133343323
DJ03,Prog,FP2,Alpha,0.8117087422678214
DJ03,Prog,FP1,Beta,1.390050629688063
DJ03,Prog,F3,Beta,1.6242589590510699
DJ03,Prog,C3,Beta,2.067273238013496
DJ03,Prog,PZ,Beta,2.0673328320586997
DJ03,Prog,C4,Beta,0.7797647747129732
DJ03,Prog,F4,Beta,1.6649392746401772
DJ03,Prog,FP2,Beta,0.9416134288250628
DJ03,Robo,FP1,Theta,4.023163755018963
DJ03,Robo,F3,Theta,3.6592404019250386
DJ03,Robo,C3,Theta,3.7342000878775066
DJ03,Robo,PZ,Theta,4.985941763055054
DJ03,Robo,C4,Theta,2.0241350729538166
DJ03,Robo,F4,Theta,2.979534767450974
DJ03,Robo,FP2,Theta,3.0910420736347084
DJ03,Robo,FP1,Alpha,1.1126011079566696
DJ03,Robo,F3,Alpha,1.1053701164502456
DJ03,Robo,C3,Alpha,1.3497540297833475
DJ03,Robo,PZ,Alpha,1.9699470300168644
DJ03,Robo,C4,Alpha,0.5903328724937208
DJ03,Robo,F4,Alpha,1.0039099133343323
DJ03,Robo,FP2,Alpha,0.8117087422678214
DJ03,Robo,FP1,Beta,1.390050629688063
DJ03,Robo,F3,Beta,1.6242589590510699
DJ03,Robo,C3,Beta,2.067273238013496
DJ03,Robo,PZ,Beta,2.0673328320586997
DJ03,Robo,C4,Beta,0.7797647747129732
DJ03,Robo,F4,Beta,1.6649392746401772
DJ03,Robo,FP2,Beta,0.9416134288250628
DT01,Desi,FP1,Theta,1.6268127445265126
DT01,Desi,F3,Theta,1.5396349689419866
DT01,Desi,C3,Theta,2.5661358646693118
DT01,Desi,PZ,Theta,3.2403057466496117
DT01,Desi,C4,Theta,1.5884571082716097
DT01,Desi,F4,Theta,1.5087064248505184
DT01,Desi,FP2,Theta,1.2722918872784545
DT01,Desi,FP1,Alpha,0.624908925151183
DT01,Desi,F3,Alpha,0.5864573360386433
DT01,Desi,C3,Alpha,1.1749147559692794
DT01,Desi,PZ,Alpha,1.694250945904498
DT01,Desi,C4,Alpha,0.6896254625715506
DT01,Desi,F4,Alpha,0.6111899104072723
DT01,Desi,FP2,Alpha,0.5086561382975411
DT01,Desi,FP1,Beta,0.8291864388441708
DT01,Desi,F3,Beta,0.8628035965214313
DT01,Desi,C3,Beta,1.3243583189151371
DT01,Desi,PZ,Beta,1.849093080617902
DT01,Desi,C4,Beta,1.023700807339987
DT01,Desi,F4,Beta,0.9303363060645927
DT01,Desi,FP2,Beta,0.6589240236935248
DT01,Prog,FP1,Theta,1.6268127445265126
DT01,Prog,F3,Theta,1.5396349689419866
DT01,Prog,C3,Theta,2.5661358646693118
DT01,Prog,PZ,Theta,3.2403057466496117
DT01,Prog,C4,Theta,1.5884571082716097
DT01,Prog,F4,Theta,1.5087064248505184
DT01,Prog,FP2,Theta,1.2722918872784545
DT01,Prog,FP1,Alpha,0.624908925151183
DT01,Prog,F3,Alpha,0.5864573360386433
DT01,Prog,C3,Alpha,1.1749147559692794
DT01,Prog,PZ,Alpha,1.694250945904498
DT01,Prog,C4,Alpha,0.6896254625715506
DT01,Prog,F4,Alpha,0.6111899104072723
DT01,Prog,FP2,Alpha,0.5086561382975411
DT01,Prog,FP1,Beta,0.8291864388441708
DT01,Prog,F3,Beta,0.8628035965214313
DT01,Prog,C3,Beta,1.3243583189151371
DT01,Prog,PZ,Beta,1.849093080617902
DT01,Prog,C4,Beta,1.023700807339987
DT01,Prog,F4,Beta,0.9303363060645927
DT01,Prog,FP2,Beta,0.6589240236935248
DT01,Robo,FP1,Theta,1.6268127445265126
DT01,Robo,F3,Theta,1.5396349689419866
DT01,Robo,C3,Theta,2.5661358646693118
DT01,Robo,PZ,Theta,3.2403057466496117
